,address,Eligible Tokens Held,SPAD Holder,Token Held Allocation,BOS Collection,BOS Allocation,Unique STAMP Collections,STAMP Held Allocation,Total Allocation Amt
112,bc1p0szcayr90rvyej5fa03kscvxvk6n7wd6j9naa252cnczs4up2f7ql4xyfu,4,false,12000,0,0,0,0,12000
113,1CKHiVAziNj7P6AnHHmwkHk64Eiqp51uJx,4,false,12000,0,0,0,0,12000
114,bc1pyhwespp6lsqp0uc3arl9v8u7hd5f0thya9hjjc78d0wdppakn9csumy8f0,4,false,12000,0,0,0,0,12000
115,bc1qtxhdt97q0e6r5jrsdd0k2k7wh5hlshrn99x7x2,4,false,12000,0,0,1,5000,17000
116,1Q18gtMG7ncSB3U4s527Anx7WCT5QTcPAG,4,false,12000,0,0,0,0,12000
117,bc1qd6yy8t6e5wmmcg2zka3xm095egtlc8ye8x27ar,4,false,12000,0,0,1,5000,17000
118,bc1q5k3m6d4vp4jdyx7yspgzxf5z0uvxpt83mrlc7q,4,false,12000,0,0,1,5000,17000
119,bc1qrcwa6g4kn0radryrr90xaxmqd2vqmj7p60p2nl,4,false,12000,1,5000,1,5000,17000
120,bc1qq4eag66cfzy703ds7lddw9lcj93pcfg55q02s9,4,false,12000,0,0,1,5000,17000
121,bc1qsjlhajzf6qcpvuhy7sx7xun3k9x6mtkqxf62vr,4,false,12000,0,0,0,0,12000
122,bc1q482rpmpc24lvnay9xwaqyx02e779r68x8hpl4s,4,false,12000,0,0,0,0,12000
123,bc1q6sk7hfr9a2awunf8a384tg83ya0gthdl7hlasd,4,false,12000,0,0,0,0,12000
124,bc1qmjfvmrj0knx6nmxt7z9plr0c78kfdylqer3ssm,4,true,21000,0,0,0,0,21000
125,bc1q3dhupg98mr5l52wuevqlgl57d83h7a3vauf0j9,4,false,12000,0,0,0,0,12000
126,bc1q03scg3d0m6js7khsc5mxuym3v833wg5tzeq7an,4,false,12000,0,0,2,10000,22000
127,bc1q0nddy5v6ms92eljl846dkvwt6gcknu03u4vtc9,4,false,12000,0,0,0,0,12000
128,bc1qahgkff48zj7uc9969wwf2fva4h3c873shllafm,4,true,21000,0,0,0,0,21000
129,bc1qrkqf39xhv4xpvyqaxyryw9vl8nx3g0fn5chgt4,4,false,12000,0,0,0,0,12000
130,bc1qrycylvnu7rf5nwm8dggywpldmf8phajj0jh5f5,3,false,9000,0,0,0,0,9000
131,bc1q3ugksfnencc2w93rf9x2tj6s5uuhug7d7qa0v0,3,false,9000,0,0,0,0,9000
132,bc1qlz0ejuy4xdjmnz3hj8lyduc97n3va2zea8q4r8,3,false,9000,0,0,0,0,9000
133,1FKYM1CP9RfttJhNG8HTNQdE2uV3YvwbRB,3,false,9000,8,5000,4,20000,29000
134,bc1qcjzecucy6wg7us3vw94nzxwuz4ylecjx3g3h22,3,false,9000,0,0,1,5000,14000
135,bc1q2vffvk7um8ajvp6pu79nnzyrazjxtul9vpdax0,3,false,9000,0,0,1,5000,14000
136,bc1qpyu8jafzsv2wjr6up27jfl2gxxvy9v730fazll,3,false,9000,0,0,0,0,9000
137,bc1qeh3p9jew8p8fkn7htwyry7pl73zz4z4w20ek06,3,false,9000,0,0,0,0,9000
138,bc1q4lrg4e4hj476vxv080sesjn8sme3jqkmzq59hv,3,false,9000,0,0,0,0,9000
139,bc1qhdyx6dq77r4t0j5qmr94ytvcpy2xmvqee8cg8j,3,false,9000,0,0,0,0,9000
140,bc1qylqksnhrxgyeuzcz4fepdjraw4mugykdut9a82,3,false,9000,0,0,0,0,9000
141,bc1qsr495w2taxkndnndlqxygz29dw56ekyaeqtw3n,3,false,9000,0,0,0,0,9000
142,bc1qenrmkucd59y0ys4s4pjrky3uhpmu6x08wecmem,3,false,9000,0,0,0,0,9000
143,bc1q2u850v9zg4t9ru65qzcwvx4v45x9c0qmun5ehw,3,false,9000,0,0,0,0,9000
144,bc1qj5hktnl2eefcpzwmu8r93l52vfheu0mqjhjjjq,3,false,9000,0,0,0,0,9000
145,bc1q5veyqvaj7swyevmc8pp9ffdguvxgg2y6x5r53j,3,false,9000,0,0,0,0,9000
146,bc1q9ps4dzhtjjjlelek388rl3en6uvt8m7t2u55ua,3,false,9000,0,0,0,0,9000
147,bc1qmfz2thrpg2j50d00kwdyvtpj6spylzrzwjhh5q,3,false,9000,0,0,0,0,9000
148,18nss3CyhKpD5dNW9R2Xcv8E16uDnbiHZE,3,false,9000,0,0,0,0,9000
149,bc1qs7gpcnzc5jus3m67qqx0j3fc8ds9tupzpx97g7,3,false,9000,0,0,0,0,9000
150,bc1qxvpvvuk8pkk8z5xm7qpm7au8mkayj25sa0k4mz,3,false,9000,0,0,0,0,9000
151,16VXUPWajWV4ijLFHBvy8h6QFUyDt1ErFY,3,false,9000,1,5000,2,10000,19000
152,bc1qke8cq9kkvpwvm74rrvd7lhxl3d0faw4qau8lzn,3,false,9000,0,0,1,5000,14000
153,bc1qrrujsae79fva5tx9kp57nhlhal03fnw2p7frfa,3,false,9000,0,0,0,0,9000
154,bc1qjsn5rymc93khvr9mrjunelfu83ttj7h4rmra5d,3,false,9000,0,0,0,0,9000
155,bc1qz7v4am4lf2ujmv9kfj0lsuuz837j7amcktpyfd,3,false,9000,1,5000,2,10000,19000
156,bc1qenua0g9096yf4m5cpazax57dw9hzg25jd9tmhq,3,false,9000,0,0,0,0,9000
157,bc1qw3temtn7turwnhwds6gtg0n6mmr2lqln7mynvl,3,false,9000,0,0,0,0,9000
158,bc1qv7dfdjl9hs80vd86wrhv02a23yu0k2uqcqezz7,3,false,9000,0,0,0,0,9000
159,bc1qzh8umnpgpnz8064jrtxrtxp5lkqf2utjn7ragg,3,false,9000,0,0,0,0,9000
160,bc1qd0tgnq2rrjc6lw36vxn4jv50dmvrge2amqkd9z,3,false,9000,0,0,0,0,9000
161,1DSmpWQcRPncb6zvNC9sefpCzCoeNwE9vt,3,false,9000,0,0,0,0,9000
162,bc1qzyhe5fq2q038aygcgu7e5wxd8raw97vqhdkhyh,3,false,9000,0,0,0,0,9000
163,bc1qt736eyus03kx67qfgn5wuvy4jw2yqeupvss4h9,3,false,9000,0,0,0,0,9000
164,bc1qpa6g8lq7kpg5snuxqg7mwjhy6nu8g59tmx23th,3,false,9000,0,0,0,0,9000
165,bc1qlgs3xj3rhvjc0pv83u6ltpguag4gm5fqluce3x,3,false,9000,0,0,0,0,9000
166,bc1q978d679sm3emle0fhd27p5vnu3a0della9vs54,3,false,9000,0,0,0,0,9000
167,bc1q36zt7pgsqauz0hgy64zklxna9aal6jcvce8x7a,3,false,9000,0,0,0,0,9000
168,bc1qdz60awtktw0lhuut9slqrt04a9dwcy87w2nmgt,3,false,9000,0,0,0,0,9000
169,bc1q3hdxuh93vktylvdcxmvzgjezrhj4h4v8tf4y26,3,false,9000,0,0,0,0,9000
170,bc1qnt5fe8trm2kmh0asdzvaguesltsl04u0sahxk7,3,false,9000,0,0,1,5000,14000
171,bc1qj46fmdcnpk73na8edyuw7m8sgf2v3huqjnthae,3,false,9000,0,0,0,0,9000
172,bc1qujtpwzpyzj7w8zyhzxqs6qchpf9rexaf520h3j,3,false,9000,0,0,0,0,9000
173,bc1qf2tryq2mzd7xyy8kxjnwr0jehxetz5h92yzwk2,3,false,9000,0,0,1,5000,14000
174,bc1qkaqgng64lyc5hucqmzjzxklvpsf5tvhv0hxqf0,3,false,9000,0,0,0,0,9000
175,bc1qay74nc2djs2g5acqp72eyvlqp3ku7sj97jft8y,3,false,9000,0,0,0,0,9000
176,bc1qdysu6jwalh5hpuddgaxs4s2sqapczkphl688my,3,false,9000,0,0,0,0,9000
177,bc1qe3mpht0298ne9gfnfs0gu49ah3gngxgrc7duje,3,false,9000,0,0,0,0,9000
178,bc1q46qcexkhzeh4k79vv7pkqp9jq87w4hnatpw0re,3,true,18000,0,0,0,0,18000
179,bc1qsffm3z8scztpluepj4lj6l7mlesk2f3tn7vpak,3,true,18000,0,0,0,0,18000
180,bc1q3cynvv962rw23smcyc54rce05zlwqp4sq54yhf,3,false,9000,0,0,0,0,9000
181,bc1qqcp7cw7fjpk0ckd05u4zpfygux33lfm39krtgw,3,false,9000,2,5000,2,10000,19000
182,bc1q60fzz4pqc3w8nfd006tmmadhvndnv88c5668kt,3,false,9000,0,0,0,0,9000
183,bc1q22n2x4sqkhwlzd29p4wy5g68nktw4w9pdna0gx,3,true,18000,0,0,0,0,18000
184,bc1qselr0d2zz70x8y9e62dgelusyvuvtdfdm3cp6k,3,true,18000,0,0,1,5000,23000
185,bc1q2dv4am99t76hzk2z3n4skfscjnhhjahrj7pguz,3,true,18000,0,0,0,0,18000
