address,$viva,bos,kevin,sato,spad,stamp,stmap,utxo,lowest_blockHeight,highest_blockHeight,eligible
bc1qpvuxrm3nzm20ryu6twte793n57w2kxsc29k5du,0,0,0,0,0,1400000.0,0,0,820794,820794,No
bc1q370j493kuktk67t6a5ez4tyqnme2pumvglnz86,0,0,1560000.0,0,0,1400000.0,0,0,821679,821701,No
bc1pxgdqasd29qvddm8pqylk9axedhan3cpahrnzaxjn6cjnqa69ughqj8sld7,0,0,0,0,0,1350000.0,0,0,827030,827030,No
1AJaw4tTpWz9GBZVWsg8EZedNTR7oKPhfU,0,0,620000.0,0,0,1350000.0,0,0,816246,816612,Yes
bc1q20un9wdtkxs3vyrw50fccegtsr5hvmmqs9080l,0,0,0,0,0,1350000.0,0,0,820940,820940,No
bc1qw08xsvlh9ntz0h8ck80gvke60tesv03zlcvvyw,0,0,1430100.0,140000.0,0,1331633.0,2812600.0,2975000.0,823289,832588,No
bc1q3m9ryme5mgds3rldgewuf46gmgf9mrwju0755q,0,0,15000.0,0,0,1301250.0,90000.0,4000000.0,821144,822525,No
bc1qtx23jxypfc0305azwqug95776z5urzat3xdmp6,0,0,0,0,0,1300000.0,0,200000.0,822386,833745,No
bc1qzw40u44nqljn75q8q6rvxldr62j2gr3d0k9zuh,0,0,0,0,0,1296000.0,0,0,833235,833235,No
bc1qw6q3ngxd8mk4ywep360shlcysgdh0hz46saran,0,0,0,0,0,1264308.0,493040.0,0,824287,825682,No
bc1qeyycds3ypvp463gygdwffnu8m5jzqn04xlnhpk,0,0,0,0,0,1250000.0,0,0,816602,816602,No
bc1q74w5pklwkpawwhz4wl6awygqwuszgx56x6g0wl,0,0,0,0,0,1203000.0,0,0,825035,825035,No
bc1qayaxd2hrf50se8upathwzyz9ezqplcd0jk9xyk,0,0,0,0,0,1200000.0,0,0,821318,821318,No
bc1q72rf30lfx3g77e5khqfndfakkezv5e5ld66k6t,0,0,0,0,0,1200000.0,0,0,789662,789662,No
bc1qmf033hq3ew0ah29hk3a0hmkwhef6wn6xvp06d7,0,0,0,0,0,1200000.0,0,0,817523,817523,No
bc1qgcgr6d9f3jamgxz8wr4jmynxs69j70e0j5cccy,0,0,0,0,0,1200000.0,0,0,823665,823665,No
1Cc2R9DpTiLctZ62ax7HbdwPczrUEQubVh,0,0,6000000.0,0,0,1200000.0,0,0,816186,816186,Yes
bc1q3cpfzek2wu2d8krhrr3w9saxcvuxfkyuysgyhh,0,0,0,0,0,1200000.0,0,0,826964,826964,No
bc1qwhxa64yyrfdvh8ry2nmdw8wtvlg4mr3x0cq7rf,0,0,0,0,0,1200000.0,0,1050000.0,832523,832558,No
bc1qt5lr02klu875prga8qyndvyt763yhyk8wq3npw,0,0,83160.0,0,0,1195000.0,0,0,796961,797714,No
