address,$viva,bos,kevin,sato,spad,stamp,stmap,utxo,stamp_count_andy_gone_pepe,stamp_count_bos_nft,stamp_count_fridapepe_by_lu,stamp_count_frogtheculture,stamp_count_garbagepailstamps,stamp_count_hnftpepe,stamp_count_immortalpepes,stamp_count_k_everywhere-fineartpepe-pepelost_inart,stamp_count_memes_by_lu,stamp_count_stampshroomz,stamp_count_thiccc,stamp_count_vandalmigos,stamp_count_vivalastamps_nft,stamp_count__total,stamp_count_unique,SPAD_Bonus
bc1qrmjpzj56fcpeglp5e29fwq85zg2zxgg5unpwmm,0.0,0.0,0.0,0.0,0.0,2863888.0,0.0,5850000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1q99k4g8ds0tnj83tqzrs5tlwvclgfsn3lfylhn4,0.0,0.0,645000.0,0.0,1540000.0,2850000.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,true
bc1qsz3awf90ux3x47vfu9m924x0mmdy2wlfsn9su5,0.0,0.0,69300.0,0.0,0.0,2835000.0,0.0,3600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qlndh7kkcee268tnz7rl55q8auaad3csk53v95c,0.0,0.0,0.0,0.0,0.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qfy0d3axt69afcc67h9haxxeyqfmhplas42zcu2,0.0,0.0,0.0,0.0,0.0,2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qa6g9dm8qw97t99lne9jctsa5rq95my4u8nk6rc,420000.0,0.0,0.0,0.0,0.0,2700000.0,2000000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,false
bc1q9x98wwz47adhxhr7tx5qlgu7ymdcw0srnvnk7s,0.0,0.0,0.0,25000.0,0.0,2700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qax6dszu7q6tkt90uvkc3v37gnk9ynanylszcqs,0.0,0.0,0.0,0.0,0.0,2652500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qmd0fc0x3fyh0z97patpzeegzws9n7ene3gtxyh,0.0,0.0,0.0,0.0,0.0,2600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false
bc1qghy0nxxj7dt0qu02xekyplhvt2v0qquarc8nq9,0.0,0.0,2010000.0,100000.0,750000.0,2500000.0,66000.0,6000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true
